Vila,Area,Order,Seasonal Order,AIC,BIC,RMSE,SMAPE,Train (bln),Test (bln),Rank_BIC
Briana,Canggu,"(1, 1, 0)","(1, 1, 1, 7)",815.35,819.33,19.65,21.09,33,3,73
Briana,Canggu,"(2, 1, 0)","(1, 1, 1, 7)",850.62,855.34,19.95,21.41,33,3,74
Briana,Canggu,"(0, 1, 2)","(0, 1, 1, 7)",873.26,876.82,15.25,15.49,33,3,75
Briana,Canggu,"(1, 1, 1)","(0, 1, 1, 7)",874.77,878.55,19.85,22.69,33,3,76
Briana,Canggu,"(0, 1, 2)","(1, 1, 1, 7)",875.28,879.73,16.66,17.73,33,3,77
Briana,Canggu,"(1, 1, 1)","(1, 1, 1, 7)",876.24,880.97,20.59,22.49,33,3,78
Briana,Canggu,"(2, 1, 0)","(0, 1, 1, 7)",892.84,896.83,18.02,20.73,33,3,79
Briana,Canggu,"(0, 1, 1)","(0, 1, 1, 7)",896.64,899.47,12.12,12.61,33,3,80
Briana,Canggu,"(0, 1, 1)","(1, 1, 1, 7)",898.66,902.44,16.94,12.95,33,3,81
Castello,Canggu,"(2, 1, 2)","(1, 1, 2, 7)",92.38,95.56,14.58,34.18,33,3,1
Castello,Canggu,"(2, 1, 2)","(0, 1, 1, 7)",91.19,96.53,53.89,104.61,33,3,2
Castello,Canggu,"(2, 1, 2)","(2, 1, 0, 7)",99.37,102.76,11.09,18.45,33,3,3
Castello,Canggu,"(2, 1, 2)","(2, 1, 2, 7)",100.18,103.76,13.52,27.61,33,3,4
Castello,Canggu,"(0, 1, 2)","(1, 1, 2, 7)",102.49,104.88,9.97,14.35,33,3,5
Castello,Canggu,"(2, 1, 2)","(0, 1, 2, 7)",102.24,105.02,19.63,19.52,33,3,6
Castello,Canggu,"(1, 1, 2)","(1, 1, 2, 7)",104.11,106.89,11.39,22.26,33,3,7
Castello,Canggu,"(2, 1, 2)","(2, 1, 1, 7)",103.67,107.55,8.88,12.74,33,3,8
Castello,Canggu,"(0, 1, 2)","(2, 1, 2, 7)",105.2,107.99,21.92,33.78,33,3,9
Castello,Canggu,"(2, 1, 1)","(2, 1, 0, 7)",106.55,109.46,13.69,24.51,33,3,10
Castello,Canggu,"(2, 1, 1)","(1, 1, 2, 7)",106.77,110.16,22.33,45.63,33,3,11
Castello,Canggu,"(1, 1, 2)","(2, 1, 2, 7)",107.36,110.54,15.91,34.22,33,3,12
Castello,Canggu,"(2, 1, 1)","(2, 1, 1, 7)",108.19,111.59,20.59,27.84,33,3,13
Castello,Canggu,"(0, 1, 2)","(0, 1, 2, 7)",110.17,112.16,20.96,22.0,33,3,14
Castello,Canggu,"(2, 1, 1)","(2, 1, 2, 7)",110.19,114.07,10.92,13.53,33,3,15
Castello,Canggu,"(1, 1, 2)","(0, 1, 2, 7)",112.11,114.5,22.21,25.02,33,3,16
Castello,Canggu,"(2, 1, 0)","(2, 1, 2, 7)",111.12,114.52,24.82,37.91,33,3,17
Castello,Canggu,"(2, 1, 0)","(2, 1, 0, 7)",112.42,114.85,23.91,50.14,33,3,18
Castello,Canggu,"(0, 1, 1)","(1, 1, 2, 7)",113.64,116.06,9.49,11.9,33,3,19
