,,Bulan,Aktual y_i (%),Prediksi ŷ_i (%),Error (y_i − ŷ_i),Error²,|Error/y_i|×100%
Elina — Train,30,RMSE,—,—,—,sqrt(1/29 * 2976.0571) = sqrt102.6227 = 10.13%,—
Elina — Train,31,MAPE,—,—,—,—,1/29 * 1301.16 = 44.87%
Isola — Test,0,Jun 2025,100.0,74.58,25.4209,646.2198,25.42
Isola — Test,1,Jul 2025,93.55,100.0,-6.4516,41.6233,6.9
Isola — Test,2,Aug 2025,70.97,98.32,-27.3517,748.1154,38.54
Isola — Test,3,Sep 2025,63.33,100.0,-36.6667,1344.4444,57.89
Isola — Test,4,Oct 2025,80.65,53.29,27.3525,748.1579,33.92
Isola — Test,5,Nov 2025,83.33,78.29,5.0394,25.3952,6.05
Isola — Test,6,Dec 2025,70.97,100.0,-29.0323,842.872,40.91
Isola — Test,7,Jumlah,—,—,—,4396.8281,209.63%
Isola — Test,8,RMSE,—,—,—,sqrt(1/7 * 4396.8281) = sqrt628.1183 = 25.06%,—
Isola — Test,9,MAPE,—,—,—,—,1/7 * 209.63 = 29.95%
Isola — Train,0,Jan 2023,0.0,0.0,0.0,0.0,
Isola — Train,1,Feb 2023,0.0,0.0,0.0,0.0,
Isola — Train,2,Mar 2023,0.0,0.0,0.0,0.0,
Isola — Train,3,Apr 2023,0.0,0.0,0.0,0.0,
Isola — Train,4,May 2023,0.0,0.0,0.0,0.0,
Isola — Train,5,Jun 2023,0.0,0.0,0.0,0.0,
Isola — Train,6,Jul 2023,0.0,0.0,0.0,0.0,
Isola — Train,7,Aug 2023,0.0,0.0,0.0,0.0,
Isola — Train,8,Sep 2023,50.0,0.0,50.0,2500.0,100.0
Isola — Train,9,Oct 2023,83.87,49.98,33.8867,1148.3113,40.4
Isola — Train,10,Nov 2023,56.67,83.86,-27.1935,739.4872,47.99
Isola — Train,11,Dec 2023,35.48,56.68,-21.1915,449.0787,59.72
Isola — Train,12,Jan 2024,51.61,35.49,16.1192,259.8299,31.23
Isola — Train,13,Feb 2024,72.41,100.0,-27.5862,760.9988,38.1
Isola — Train,14,Mar 2024,80.65,100.0,-19.3548,374.6098,24.0
Isola — Train,15,Apr 2024,63.33,84.57,-21.2379,451.0503,33.53
Isola — Train,16,May 2024,64.52,50.12,14.3944,207.1979,22.31
Isola — Train,17,Jun 2024,83.33,68.7,14.6356,214.1998,17.56
Isola — Train,18,Jul 2024,87.1,88.43,-1.3341,1.7799,1.53
Isola — Train,19,Aug 2024,67.74,92.13,-24.3831,594.5374,35.99
Isola — Train,20,Sep 2024,83.33,71.89,11.4432,130.9472,13.73
Isola — Train,21,Oct 2024,51.61,78.9,-27.2824,744.3286,52.86
Isola — Train,22,Nov 2024,86.67,93.59,-6.9238,47.9393,7.99
Isola — Train,23,Dec 2024,74.19,93.26,-19.0698,363.6589,25.7
Isola — Train,24,Jan 2025,70.97,65.81,5.1592,26.6176,7.27
Isola — Train,25,Feb 2025,100.0,89.27,10.7307,115.1482,10.73
Isola — Train,26,Mar 2025,87.1,50.82,36.2751,1315.8819,41.65
Isola — Train,27,Apr 2025,96.67,92.41,4.2596,18.144,4.41
Isola — Train,28,May 2025,54.84,76.09,-21.2478,451.4711,38.75
Isola — Train,29,Jumlah,—,—,—,10915.2178,655.46%
Isola — Train,30,RMSE,—,—,—,sqrt(1/29 * 10915.2178) = sqrt376.3868 = 19.40%,—
Isola — Train,31,MAPE,—,—,—,—,1/29 * 655.46 = 22.60%
Eindra — Test,0,Jun 2025,70.0,100.0,-30.0,900.0,42.86
Eindra — Test,1,Jul 2025,90.32,79.9,10.4272,108.7263,11.54
Eindra — Test,2,Aug 2025,74.19,76.04,-1.8455,3.4058,2.49
Eindra — Test,3,Sep 2025,73.33,39.07,34.2597,1173.7255,46.72
Eindra — Test,4,Oct 2025,70.97,85.17,-14.1999,201.6372,20.01
Eindra — Test,5,Nov 2025,86.67,90.88,-4.2103,17.7269,4.86
Eindra — Test,6,Dec 2025,80.65,100.0,-19.3548,374.6098,24.0
Eindra — Test,7,Jumlah,—,—,—,2779.8314,152.47%
Eindra — Test,8,RMSE,—,—,—,sqrt(1/7 * 2779.8314) = sqrt397.1188 = 19.93%,—
Eindra — Test,9,MAPE,—,—,—,—,1/7 * 152.47 = 21.78%
Eindra — Train,0,Jan 2023,54.84,0.0,54.8387,3007.2841,100.0
Eindra — Train,1,Feb 2023,28.57,0.0,28.5714,816.3265,100.0
Eindra — Train,2,Mar 2023,45.16,0.0,45.1607,2039.4865,100.0
Eindra — Train,3,Apr 2023,56.67,0.0,56.6647,3210.8849,100.0
Eindra — Train,4,May 2023,77.42,0.0,77.4167,5993.3448,100.0
Eindra — Train,5,Jun 2023,86.67,0.0,86.6631,7510.4959,100.0
Eindra — Train,6,Jul 2023,77.42,54.84,22.5764,509.6957,29.16
Eindra — Train,7,Aug 2023,80.65,28.58,52.0701,2711.3,64.57
Eindra — Train,8,Sep 2023,70.0,45.17,24.833,616.6776,35.48
Eindra — Train,9,Oct 2023,67.74,56.67,11.0696,122.5361,16.34
Eindra — Train,10,Nov 2023,50.0,77.42,-27.4234,752.044,54.85
